3038 600
 2830.00     40.00    321     98
 2830.00     77.00    321     76
 2830.00    114.00    321     58
 2831.00    155.00    321     12
 2830.00    194.00    321     90
 2831.00    231.00    321     34
 2831.00    269.00    321     17
 2831.00    309.00    321     79
 2830.00    347.00    321     43
 2830.00    384.00    321     45
 2792.00     35.00    321     48
 2792.00     75.00    321     35
 2790.00    115.00    321     20
 2792.00    153.00    321     24
 2791.00    191.00    321     62
 2791.00    231.00    321     26
 2790.00    271.00    321     39
 2791.00    306.00    321     12
 2791.00    345.00    321    100
 2792.00    384.00    321     42
 2800.00    460.00    321     94
 2801.00    499.00    321     68
 2801.00    538.00    321     85
 2800.00    578.00    321     36
 2802.00    620.00    321      1
 2800.00    654.00    321     68
 2800.00    694.00    321     38
 2802.00    732.00    321     37
 2800.00    772.00    321     88
 2800.00    810.00    321     52
 2762.00    459.00    321     61
 2761.00    497.00    321     45
 2761.00    540.00    321     67
 2761.00    578.00    321     45
 2762.00    591.00    321      2
 2763.00    656.00    321     16
 2762.00    694.00    321     13
 2761.00    731.00    321     93
 2762.00    770.00    321     76
 2761.00    808.00    321     64
 2801.00    946.00    321     57
 2803.00   1034.00    321     62
 2723.00    943.00    321     81
 2724.00   1029.00    321     12
 2702.00   1003.00    321     27
 2800.00   1098.00    321     84
 2799.00   1137.00    321     23
 2831.00   1158.00    321     43
 2801.00   1178.00    321     29
 2800.00   1216.00    321     50
 2829.00   1237.00    321     89
 2801.00   1254.00    321     77
 2800.00   1292.00    321     17
 2800.00   1331.00    321     83
 2801.00   1370.00    321     57
 2799.00   1409.00    321     22
 2804.00   1450.00    321     83
 2759.00   1098.00    321     54
 2762.00   1138.00    321     48
 2762.00   1178.00    321      4
 2761.00   1213.00    321     15
 2763.00   1255.00    321     67
 2761.00   1293.00    321     27
 2763.00   1330.00    321     37
 2761.00   1369.00    321     24
 2759.00   1411.00    321     19
 2761.00   1446.00    321     60
 2762.00    617.00    321     20
 2801.00   1507.00    321     47
 2800.00   1548.00    321     89
 2801.00   1581.00    321     15
 2801.00   1619.00    321     85
 2799.00   1656.00    321     41
 2800.00   1698.00    321     82
