3038 1000
 2830.00     40.00    191     29
 2830.00     77.00    191     59
 2830.00    114.00    191      3
 2831.00    155.00    191     71
 2830.00    194.00    191     35
 2831.00    231.00    191     20
 2831.00    269.00    191     87
 2831.00    309.00    191     78
 2830.00    347.00    191     89
 2830.00    384.00    191     58
 2792.00     35.00    191     16
 2792.00     75.00    191     44
 2790.00    115.00    191     50
 2792.00    153.00    191     28
 2791.00    191.00    191     56
 2791.00    231.00    191     34
 2790.00    271.00    191     18
 2791.00    306.00    191     99
 2791.00    345.00    191     16
 2792.00    384.00    191     90
 2800.00    460.00    191     80
 2801.00    499.00    191     73
 2801.00    538.00    191     93
 2800.00    578.00    191     25
 2802.00    620.00    191      8
 2800.00    654.00    191     17
 2800.00    694.00    191     23
 2802.00    732.00    191     15
 2800.00    772.00    191     33
 2800.00    810.00    191     14
 2762.00    459.00    191     27
 2761.00    497.00    191     33
 2761.00    540.00    191     65
 2761.00    578.00    191     72
 2762.00    591.00    191     89
 2763.00    656.00    191     13
 2762.00    694.00    191     35
 2761.00    731.00    191     31
 2762.00    770.00    191      5
 2761.00    808.00    191     50
 2801.00    946.00    191     17
 2803.00   1034.00    191     22
 2723.00    943.00    191     33
 2724.00   1029.00    191     35
 2702.00   1003.00    191     89
 2800.00   1098.00    191     26
 2799.00   1137.00    191     51
 2831.00   1158.00    191     23
 2801.00   1178.00    191      5
 2800.00   1216.00    191     44
 2829.00   1237.00    191     37
 2801.00   1254.00    191     98
 2800.00   1292.00    191     23
 2800.00   1331.00    191     45
 2801.00   1370.00    191     77
 2799.00   1409.00    191     51
 2804.00   1450.00    191     38
 2759.00   1098.00    191     12
 2762.00   1138.00    191     87
 2762.00   1178.00    191     66
 2761.00   1213.00    191     10
 2763.00   1255.00    191     76
 2761.00   1293.00    191     76
 2763.00   1330.00    191     29
 2761.00   1369.00    191     53
 2759.00   1411.00    191     70
 2761.00   1446.00    191     71
 2762.00    617.00    191     64
 2801.00   1507.00    191     78
 2800.00   1548.00    191     50
 2801.00   1581.00    191     42
 2801.00   1619.00    191     52
 2799.00   1656.00    191     43
 2800.00   1698.00    191     45
 2800.00   1738.00    191      6
 2800.00   1781.00    191     36
 2799.00   1820.00    191     66
 2800.00   1856.00    191     83
 2760.00   1506.00    191     13
 2760.00   1543.00    191     43
 2763.00   1586.00    191     33
 2761.00   1621.00    191     25
 2761.00   1659.00    191     67
 2761.00   1698.00    191      7
 2762.00   1737.00    191     64
 2761.00   1775.00    191     81
 2762.00   1821.00    191     18
 2762.00   1853.00    191     89
 2800.00   2067.00    191     47
 2798.00   2102.00    191     54
 2799.00   2143.00    191     94
 2801.00   2183.00    191     35
 2800.00   2221.00    191     56
 2801.00   2262.00    191     93
 2800.00   2299.00    191     40
 2800.00   2337.00    191     46
 2801.00   2376.00    191     86
 2800.00   2414.00    191     13
 2760.00   2066.00    191     67
 2760.00   2105.00    191     92
 2761.00   2144.00    191     32
 2761.00   2184.00    191     93
 2763.00   2222.00    191      5
 2760.00   2259.00    191     23
 2761.00   2297.00    191     15
 2760.00   2338.00    191     28
