324 10  
30307,233 53292,345 792 52
30209,411 54198,388 792 52
30519,449 53090,243 792 52
30203,189 54194,29 792 52
30315,355 53288,735 792 52
30318,982 53302,255 792 52
30317,417 53288,945 792 52
30317,492 53288,742 792 52
30193,768 54191,333 792 15
30306,245 53288,144 792 15
30166,414 53127,357 792 7
30305,308 53295,412 792 7
30196,922 54193,267 792 15
30198,905 54191,27 792 15
30197,495 54195,93 792 15
30192,737 54188,9 792 15
30307,911 53295,247 792 15
30305,519 53297,546 792 8
30516,624 53063,434 792 8
30203,47 54200,317 792 8
30209,459 54176,096 792 8
30305,308 53295,412 792 8
30200,892 54193,078 792 8
30189,291 54195,937 792 8
30541,989 53258,292 792 20
30193,189 54196,621 792 20
30189,291 54195,937 792 20
30196,563 54194,543 792 20
30196,157 54194,844 792 20
30193,174 54197,155 792 20
30192,199 54192,434 792 20
30213,874 54203,152 792 20
30214,218 54201,328 792 20
30214,661 54203,097 792 20
30214,208 54201,715 792 20
30213,909 54203,083 792 20
30211,948 54205,942 792 20
30212,157 54206,528 792 20
30211,64 54204,432 792 20
30214,27 54199,159 792 20
30212,55 54199,87 792 20
30214,463 54196,751 792 20
30305,076 53297,164 792 20
30311,129 53296,165 792 20
30207,691 54202,818 792 20
30202,774 54216,382 792 20
30011,549 53598,602 792 20
30209,707 54198,93 792 20
30212,767 54194,798 792 20
30211,882 54193,383 792 20
30203,907 54205,441 792 20
30216,112 54192,428 792 20
30209,074 54200,114 792 20
30310,301 53294,536 792 20
30311,737 53294,424 792 20
30305,433 53294,854 792 20
30311,559 53291,1 792 20
30310,233 53293,878 792 20
30195,402 54187,756 792 20
30195,539 54187,578 792 20
30118,656 54150,326 792 20
30197,769 54188,066 792 20
30210,987 54192,957 792 20
30205,827 54203,456 792 20
30198,687 54217,702 792 20
30309,541 53291,777 792 20
30302,034 53287,682 792 20
30298,283 53288,01 792 20
30311,389 53289,502 792 20
30307,021 53289,641 792 20
30305,548 53293,325 792 20
30196,795 54224,286 792 20
30204,101 54194,672 792 20
30204,669 54196,916 792 20
30203,834 54196,28 792 20
30198,819 54190,78 792 20
30198,46 54191,428 792 20
30307,662 53291,432 792 20
30206,006 54198,924 792 20
30205,256 54191,523 792 20
30205,94 54189,605 792 20
30215,188 53276,006 792 20
30308,535 53284,825 792 20
30306,348 53290,398 792 20
30308,932 53293,119 792 20
30309,719 53290,519 792 20
30192,177 54186,524 792 20
30191,128 54185,586 792 20
30192,132 54183,46 792 20
30191,847 54183,198 792 20
30191,477 54183,797 792 20
30204,889 54188,19 792 20
30205,015 54188,428 792 20
30205,11 54188,39 792 20
30208,955 54175,954 792 20
30208,619 54171,623 792 20
30203,48 54182,974 792 20
30140,642 54123,115 792 20
30149,842 54114,116 792 20
30309,963 53294,926 792 20
30166,414 53127,357 792 20
30208,539 54066,352 792 20
30203,058 54195,443 792 20
30205,173 54189,415 792 20
30203,947 54186,67 792 20
30203,699 54187,08 792 20
30202,284 54190,68 792 20
30202,297 54190,674 792 20
30198,819 54190,78 792 20
30310,397 53293,729 792 20
30206,804 54189,149 792 20
30201,215 54199,968 792 20
30199,449 54200,06 792 20
30199,678 54199,975 792 20
30203,517 54183,399 792 20
30315,137 53301,496 792 20
30205,256 54191,523 792 20
30204,307 54184,888 792 20
30201,215 54199,968 792 20
30199,488 54201,995 792 20
30199,678 54199,975 792 20
30312,109 53288,373 792 20
30204,169 54191,793 792 20
30280,353 54293,051 792 20
30346,097 54384,417 792 20
30346,673 54384,969 792 20
30199,831 54197,283 792 20
30201,269 54198,283 792 20
30200,784 54198,641 792 20
30201,449 54197,358 792 20
30199,799 54196,155 792 20
30202,595 54197,84 792 20
30205,256 54191,523 792 20
30299,492 54169,227 792 20
30325,192 53279,193 792 20
30201,37 54199,253 792 20
30203,6 54198,178 792 20
30203,471 54201,338 792 20
30202,683 54201,962 792 20
30519,751 53054,703 792 20
30540,092 53257,505 792 20
30541,118 53259,144 792 20
30540,22 53260,87 792 20
30212,767 54194,798 792 20
30216,112 54192,428 792 20
30210,12 54200,422 792 20
30203,947 54186,67 792 20
30202,284 54190,68 792 20
30198,819 54190,78 792 20
30195,539 54187,578 792 20
30149,842 54114,116 792 20
30203,48 54182,974 792 20
30118,656 54150,326 792 20
30192,375 54187,651 792 15
30206,804 54189,149 792 15
30205,043 54191,869 792 15
30203,955 54197,929 792 15
30210,987 54192,957 792 15
30191,475 54185,584 792 15
30200,925 54202,841 792 15
30303,143 53291,73 792 10
30309,706 53294,485 792 10
30309,563 53289,463 792 10
30309,764 53286,127 792 10
30325,983 53280,934 792 10
